NumRooms,CriticalPathLength,CriticalPathDistance,Depth,NumNeighbours
12,3,0,0,2
12,3,1,1,1
12,3,1,1,2
12,3,0,1,4
12,3,0,2,1
12,3,0,0,2
12,3,2,2,2
12,3,1,1,2
12,3,0,0,1
12,3,0,1,2
12,3,1,2,4
12,3,2,3,1
19,11,1,3,1
19,11,0,2,3
19,11,1,3,4
19,11,0,3,3
19,11,1,4,1
19,11,0,4,3
19,11,0,5,2
19,11,0,6,2
19,11,0,7,1
19,11,0,0,1
19,11,0,1,2
19,11,0,2,4
19,11,1,3,1
19,11,1,3,3
19,11,2,4,2
19,11,3,5,1
19,11,0,3,4
19,11,1,4,1
19,11,0,4,2
7,4,0,5,1
7,4,0,0,1
7,4,1,2,1
7,4,1,2,1
7,4,0,2,1
7,4,1,2,2
7,4,0,1,4
14,5,0,0,1
14,5,0,1,5
14,5,1,2,1
14,5,1,2,1
14,5,0,3,2
14,5,1,3,2
14,5,0,0,3
14,5,0,1,4
14,5,0,2,1
14,5,1,1,1
14,5,2,2,1
14,5,1,1,3
14,5,1,2,1
14,5,1,2,1
26,6,2,2,4
26,6,3,3,1
26,6,3,3,1
26,6,3,3,1
26,6,0,0,1
26,6,0,1,3
26,6,1,2,1
26,6,1,2,1
26,6,1,2,1
26,6,0,3,3
26,6,1,4,1
26,6,0,4,3
26,6,0,5,2
26,6,0,6,4
26,6,1,7,1
26,6,1,7,2
26,6,2,7,1
26,6,0,8,2
26,6,0,9,2
26,6,0,10,2
26,6,0,11,2
26,6,0,12,2
26,6,1,13,1
26,6,0,0,1
26,6,0,1,2
26,6,1,2,1
10,7,1,2,1
10,7,1,3,2
10,7,0,3,3
10,7,0,4,1
10,7,0,0,1
10,7,0,1,2
10,7,1,2,2
10,7,0,2,3
10,7,0,3,7
10,7,1,4,1
9,5,1,4,1
9,5,1,4,1
9,5,1,4,2
9,5,0,5,3
9,5,1,5,2
9,5,2,4,3
9,5,1,4,3
9,5,1,3,3
9,5,0,0,5
10,6,1,1,3
10,6,0,1,3
10,6,0,2,2
10,6,0,3,1
10,6,2,2,3
10,6,1,1,2
10,6,1,1,2
10,6,1,1,2
10,6,2,2,2
10,6,3,3,1
9,3,0,0,4
9,3,1,1,1
9,3,0,1,2
9,3,0,2,4
9,3,0,3,1
9,3,1,3,1
9,3,1,1,2
9,3,1,1,2
9,3,2,2,1
17,5,0,0,3
17,5,1,1,2
17,5,0,1,5
17,5,1,1,4
17,5,2,2,4
17,5,3,3,1
17,5,2,2,2
17,5,0,2,5
17,5,3,3,2
17,5,0,3,1
17,5,0,0,2
17,5,0,1,3
17,5,1,2,3
17,5,2,3,1
17,5,2,3,2
17,5,1,2,2
17,5,0,2,2
8,8,0,3,2
8,8,0,4,2
8,8,0,5,2
8,8,0,6,4
8,8,0,7,2
8,8,0,8,1
8,8,0,0,1
8,8,0,1,2
5,3,0,2,2
5,3,0,3,2
5,3,0,4,2
5,3,0,5,5
5,3,1,6,1
25,4,0,8,2
25,4,0,7,2
25,4,0,6,2
25,4,1,6,1
25,4,2,7,1
25,4,1,6,2
25,4,1,6,1
25,4,0,9,1
25,4,0,0,1
25,4,1,2,3
25,4,0,1,5
25,4,1,2,2
25,4,0,3,4
25,4,0,3,3
25,4,0,2,3
25,4,0,2,2
25,4,0,4,2
25,4,0,5,1
25,4,0,0,3
25,4,1,1,2
25,4,2,2,2
25,4,2,3,2
25,4,1,3,2
25,4,0,1,3
25,4,1,1,3
8,3,1,2,2
8,3,1,3,2
8,3,2,4,1
8,3,0,2,6
8,3,1,3,1
8,3,0,3,2
8,3,0,4,1
8,3,0,0,1
13,8,0,1,4
13,8,0,2,3
13,8,0,3,3
13,8,0,4,2
13,8,0,5,1
13,8,1,2,1
13,8,1,2,2
13,8,1,4,1
13,8,0,0,1
13,8,1,1,1
13,8,0,0,5
13,8,1,1,1
13,8,1,1,1
11,6,1,1,1
11,6,1,1,1
11,6,0,1,1
11,6,0,0,2
11,6,1,1,1
11,6,0,1,1
11,6,0,0,3
11,6,0,1,4
11,6,0,2,1
11,6,1,1,1
11,6,1,1,1
6,3,1,2,1
6,3,1,2,1
6,3,0,0,2
6,3,1,1,2
6,3,1,2,2
6,3,0,3,4
6,3,1,4,3
6,3,0,4,2
6,3,1,5,3
6,3,0,4,3
6,3,0,3,3
6,3,1,4,1
13,9,0,2,3
13,9,1,3,2
13,9,0,1,2
13,9,0,0,2
13,9,0,1,2
13,9,1,1,2
13,9,0,2,4
13,9,1,2,4
13,9,0,3,2
13,9,1,3,3
13,9,2,3,2
13,9,0,4,3
13,9,0,0,1
15,10,1,5,1
15,10,0,1,2
15,10,0,2,2
15,10,0,4,4
15,10,0,3,3
15,10,1,5,5
15,10,2,6,1
15,10,2,6,1
15,10,2,6,1
15,10,0,5,3
15,10,1,6,1
15,10,0,6,4
15,10,1,7,1
15,10,1,7,1
15,10,0,7,2
10,8,1,8,1
10,8,0,0,1
10,8,0,1,2
10,8,0,2,4
10,8,1,3,1
10,8,1,3,3
10,8,2,4,1
10,8,2,4,1
10,8,0,3,2
10,8,0,4,2
14,4,1,5,1
14,4,0,0,1
14,4,0,1,2
14,4,0,2,2
14,4,0,3,4
14,4,1,4,2
14,4,2,5,2
14,4,3,6,1
14,4,1,4,2
14,4,0,4,8
14,4,1,5,1
14,4,1,5,1
14,4,1,5,1
14,4,1,5,1
9,6,1,5,1
9,6,0,5,3
9,6,1,6,2
9,6,0,6,2
9,6,2,7,1
9,6,0,7,1
9,6,0,0,3
9,6,0,1,2
